Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2024*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL RESIDENCIAL,  13.063.520 ,  12.920.165 ,  13.920.583 ,  12.872.040 ,  12.276.983 ,  11.916.448 ,  11.976.788 ,  12.075.645 ,  12.505.353 ,  12.605.216 ,  12.949.705 ,  13.688.589 ,  152.771.037 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  878.646 ,  829.751 ,  886.754 ,  860.992 ,  899.520 ,  899.714 ,  923.014 ,  995.812 ,  1.032.571 ,  1.044.150 ,  982.073 ,  989.692 ,  11.222.689 
Nordeste,  2.687.342 ,  2.575.410 ,  2.805.342 ,  2.628.482 ,  2.676.007 ,  2.469.484 ,  2.467.219 ,  2.492.009 ,  2.614.393 ,  2.653.201 ,  2.807.406 ,  2.839.078 ,  31.715.372 
Sudeste,  5.992.623 ,  6.037.501 ,  6.641.314 ,  6.255.458 ,  5.701.319 ,  5.493.265 ,  5.539.689 ,  5.545.785 ,  5.694.638 ,  5.755.198 ,  5.951.935 ,  6.316.138 ,  70.924.863 
Sul,  2.347.818 ,  2.348.276 ,  2.392.262 ,  1.963.268 ,  1.873.783 ,  1.994.035 ,  1.988.103 ,  1.948.832 ,  1.980.822 ,  1.936.082 ,  2.004.807 ,  2.282.811 ,  25.060.898 
Centro-Oeste,  1.157.091 ,  1.129.228 ,  1.194.911 ,  1.163.840 ,  1.126.353 ,  1.059.951 ,  1.058.762 ,  1.093.208 ,  1.182.929 ,  1.216.586 ,  1.203.484 ,  1.260.871 ,  13.847.214 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  124.355 ,  121.492 ,  123.713 ,  121.115 ,  119.511 ,  117.166 ,  120.426 ,  132.414 ,  134.000 ,  141.968 ,  134.774 ,  130.749 ,  1.521.683 
Norte,  901.454 ,  847.504 ,  928.986 ,  892.422 ,  950.163 ,  953.667 ,  967.710 ,  1.057.865 ,  1.097.058 ,  1.092.345 ,  1.055.617 ,  1.056.306 ,  11.801.098 
Nordeste,  2.379.851 ,  2.291.729 ,  2.479.530 ,  2.320.974 ,  2.334.653 ,  2.143.356 ,  2.135.519 ,  2.123.905 ,  2.238.969 ,  2.279.964 ,  2.428.473 ,  2.458.424 ,  27.615.346 
Sudeste/C.Oeste,  7.310.043 ,  7.311.163 ,  7.996.093 ,  7.574.262 ,  6.998.873 ,  6.708.224 ,  6.765.030 ,  6.812.629 ,  7.054.503 ,  7.154.858 ,  7.326.034 ,  7.760.299 ,  86.772.011 
Sul,  2.347.818 ,  2.348.276 ,  2.392.262 ,  1.963.268 ,  1.873.783 ,  1.994.035 ,  1.988.103 ,  1.948.832 ,  1.980.822 ,  1.936.082 ,  2.004.807 ,  2.282.811 ,  25.060.898 
,,,,,,,,,,,,,
,2021,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL RESIDENCIAL,  13.654.031 ,  12.875.838 ,  13.256.388 ,  13.358.895 ,  11.974.093 ,  12.000.079 ,  11.700.591 ,  11.836.598 ,  12.596.418 ,  12.538.159 ,  12.377.506 ,  13.084.843 ,  151.253.439 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  829.320 ,  798.266 ,  811.549 ,  863.586 ,  857.418 ,  890.071 ,  852.598 ,  908.326 ,  973.482 ,  961.855 ,  943.441 ,  931.826 ,  10.621.738 
Nordeste,  2.763.245 ,  2.623.494 ,  2.731.576 ,  2.778.757 ,  2.541.573 ,  2.567.474 ,  2.479.002 ,  2.462.667 ,  2.560.694 ,  2.679.149 ,  2.668.152 ,  2.831.641 ,  31.687.422 
Sudeste,  6.604.401 ,  6.235.408 ,  6.357.289 ,  6.390.169 ,  5.626.107 ,  5.549.613 ,  5.404.190 ,  5.472.932 ,  5.975.072 ,  5.758.807 ,  5.674.137 ,  6.024.669 ,  71.072.795 
Sul,  2.273.434 ,  2.119.585 ,  2.205.119 ,  2.122.892 ,  1.881.304 ,  1.873.584 ,  1.964.097 ,  1.982.015 ,  1.836.742 ,  1.878.103 ,  1.945.066 ,  2.082.091 ,  24.164.031 
Centro-Oeste,  1.183.630 ,  1.099.086 ,  1.150.854 ,  1.203.491 ,  1.067.692 ,  1.119.338 ,  1.000.703 ,  1.010.658 ,  1.250.428 ,  1.260.245 ,  1.146.710 ,  1.214.616 ,  13.707.452 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  120.887 ,  117.760 ,  119.387 ,  130.145 ,  122.377 ,  119.762 ,  115.920 ,  122.765 ,  135.213 ,  135.649 ,  133.700 ,  128.103 ,  1.501.668 
Norte,  873.974 ,  836.811 ,  837.460 ,  883.015 ,  879.782 ,  918.011 ,  907.652 ,  947.766 ,  1.000.555 ,  989.409 ,  982.739 ,  985.036 ,  11.042.210 
Nordeste,  2.459.724 ,  2.333.855 ,  2.444.179 ,  2.482.047 ,  2.251.444 ,  2.269.267 ,  2.169.062 ,  2.145.769 ,  2.223.311 ,  2.338.017 ,  2.333.339 ,  2.492.390 ,  27.942.405 
Sudeste/C.Oeste,  7.926.012 ,  7.467.827 ,  7.650.242 ,  7.740.796 ,  6.839.186 ,  6.819.456 ,  6.543.860 ,  6.638.282 ,  7.400.597 ,  7.196.981 ,  6.982.661 ,  7.397.224 ,  86.603.125 
Sul,  2.273.434 ,  2.119.585 ,  2.205.119 ,  2.122.892 ,  1.881.304 ,  1.873.584 ,  1.964.097 ,  1.982.015 ,  1.836.742 ,  1.878.103 ,  1.945.066 ,  2.082.091 ,  24.164.031 
,,,,,,,,,,,,,
,2020,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL RESIDENCIAL,  12.908.509 ,  12.383.229 ,  12.431.859 ,  12.318.358 ,  11.755.902 ,  11.395.965 ,  11.706.528 ,  11.851.776 ,  12.240.388 ,  13.090.078 ,  12.777.893 ,  13.312.692 ,  148.173.178 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  799.554 ,  795.849 ,  809.203 ,  825.130 ,  821.868 ,  829.362 ,  873.226 ,  896.084 ,  941.910 ,  961.023 ,  926.031 ,  856.868 ,  10.336.107 
Nordeste,  2.590.819 ,  2.456.880 ,  2.599.628 ,  2.667.831 ,  2.587.578 ,  2.424.710 ,  2.421.275 ,  2.354.043 ,  2.458.564 ,  2.628.029 ,  2.680.088 ,  2.741.444 ,  30.610.887 
Sudeste,  6.159.441 ,  5.890.217 ,  5.894.607 ,  5.678.228 ,  5.426.561 ,  5.400.703 ,  5.496.332 ,  5.671.487 ,  5.756.787 ,  6.241.392 ,  5.999.235 ,  6.377.972 ,  69.992.962 
Sul,  2.244.223 ,  2.141.097 ,  2.044.197 ,  1.995.892 ,  1.850.036 ,  1.779.343 ,  1.915.802 ,  1.879.434 ,  1.928.536 ,  1.953.028 ,  1.950.981 ,  2.116.828 ,  23.799.398 
Centro-Oeste,  1.114.472 ,  1.099.187 ,  1.084.225 ,  1.151.278 ,  1.069.859 ,  961.848 ,  999.893 ,  1.050.728 ,  1.154.592 ,  1.306.606 ,  1.221.558 ,  1.219.580 ,  13.433.825 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  119.472 ,  115.272 ,  126.730 ,  128.782 ,  118.169 ,  117.211 ,  122.660 ,  125.856 ,  136.718 ,  139.813 ,  137.423 ,  135.061 ,  1.523.166 
Norte,  827.454 ,  804.480 ,  813.036 ,  839.795 ,  846.997 ,  879.972 ,  912.702 ,  917.467 ,  950.292 ,  975.007 ,  952.015 ,  870.271 ,  10.589.487 
Nordeste,  2.309.045 ,  2.189.315 ,  2.329.096 ,  2.384.008 ,  2.304.874 ,  2.128.222 ,  2.119.892 ,  2.053.441 ,  2.144.377 ,  2.297.976 ,  2.355.468 ,  2.419.179 ,  27.034.894 
Sudeste/C.Oeste,  7.408.315 ,  7.133.065 ,  7.118.800 ,  6.969.882 ,  6.635.826 ,  6.491.217 ,  6.635.473 ,  6.875.578 ,  7.080.465 ,  7.724.254 ,  7.382.006 ,  7.771.352 ,  85.226.233 
Sul,  2.244.223 ,  2.141.097 ,  2.044.197 ,  1.995.892 ,  1.850.036 ,  1.779.343 ,  1.915.802 ,  1.879.434 ,  1.928.536 ,  1.953.028 ,  1.950.981 ,  2.116.828 ,  23.799.398 
,,,,,,,,,,,,,
,2019,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL RESIDENCIAL,  12.938.073 ,  12.626.668 ,  12.384.050 ,  11.569.459 ,  11.926.594 ,  11.050.317 ,  10.952.286 ,  10.987.004 ,  11.379.179 ,  11.973.114 ,  12.423.678 ,  12.200.706 ,  142.411.127 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  726.874 ,  713.769 ,  731.745 ,  751.878 ,  777.287 ,  782.406 ,  807.441 ,  817.871 ,  855.773 ,  826.928 ,  837.489 ,  837.765 ,  9.467.226 
Nordeste,  2.433.230 ,  2.421.842 ,  2.541.248 ,  2.381.421 ,  2.490.242 ,  2.330.185 ,  2.300.502 ,  2.206.131 ,  2.263.215 ,  2.467.786 ,  2.565.289 ,  2.674.693 ,  29.075.783 
Sudeste,  6.389.714 ,  6.188.834 ,  6.072.327 ,  5.610.278 ,  5.785.412 ,  5.269.701 ,  5.152.318 ,  5.201.820 ,  5.376.428 ,  5.668.331 ,  5.967.916 ,  5.682.864 ,  68.365.945 
Sul,  2.302.787 ,  2.226.479 ,  1.999.924 ,  1.806.674 ,  1.822.174 ,  1.714.445 ,  1.761.217 ,  1.797.405 ,  1.770.891 ,  1.849.757 ,  1.913.587 ,  1.918.579 ,  22.883.921 
Centro-Oeste,  1.085.468 ,  1.075.744 ,  1.038.807 ,  1.019.207 ,  1.051.478 ,  953.578 ,  930.808 ,  963.777 ,  1.112.872 ,  1.160.312 ,  1.139.397 ,  1.086.805 ,  12.618.251 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  116.252 ,  109.054 ,  118.214 ,  124.001 ,  116.615 ,  106.683 ,  114.294 ,  109.631 ,  117.758 ,  131.113 ,  121.263 ,  119.363 ,  1.404.241 
Norte,  744.998 ,  737.491 ,  750.467 ,  758.910 ,  801.075 ,  818.449 ,  829.488 ,  852.971 ,  876.155 ,  847.355 ,  875.718 ,  887.079 ,  9.780.157 
Nordeste,  2.167.469 ,  2.164.894 ,  2.282.211 ,  2.121.324 ,  2.218.004 ,  2.063.349 ,  2.028.964 ,  1.929.288 ,  1.975.808 ,  2.175.540 ,  2.268.509 ,  2.368.804 ,  25.764.164 
Sudeste/C.Oeste,  7.606.566 ,  7.388.750 ,  7.233.234 ,  6.758.549 ,  6.968.725 ,  6.347.390 ,  6.218.323 ,  6.297.710 ,  6.638.567 ,  6.969.348 ,  7.244.601 ,  6.906.880 ,  82.578.643 
Sul,  2.302.787 ,  2.226.479 ,  1.999.924 ,  1.806.674 ,  1.822.174 ,  1.714.445 ,  1.761.217 ,  1.797.405 ,  1.770.891 ,  1.849.757 ,  1.913.587 ,  1.918.579 ,  22.883.921 
,,,,,,,,,,,,,
,2018,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL RESIDENCIAL,  11.957.246 ,  11.658.888 ,  11.950.324 ,  11.932.953 ,  11.400.721 ,  11.066.196 ,  10.790.602 ,  10.808.783 ,  11.129.562 ,  11.526.905 ,  11.758.806 ,  11.718.621 ,  137.699.605 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  749.421 ,  721.929 ,  749.309 ,  761.093 ,  784.448 ,  776.976 ,  782.046 ,  797.189 ,  804.933 ,  861.574 ,  841.537 ,  738.718 ,  9.369.173 
Nordeste,  2.361.905 ,  2.298.489 ,  2.335.815 ,  2.366.883 ,  2.280.120 ,  2.278.071 ,  2.144.669 ,  2.215.550 ,  2.230.596 ,  2.378.990 ,  2.518.675 ,  2.430.903 ,  27.840.665 
Sudeste,  5.863.375 ,  5.718.347 ,  5.957.652 ,  5.957.746 ,  5.536.524 ,  5.320.618 ,  5.186.863 ,  5.116.358 ,  5.360.842 ,  5.482.086 ,  5.585.817 ,  5.687.379 ,  66.773.606 
Sul,  1.991.358 ,  1.946.358 ,  1.917.647 ,  1.836.583 ,  1.826.148 ,  1.781.848 ,  1.768.602 ,  1.748.058 ,  1.751.268 ,  1.729.766 ,  1.771.098 ,  1.835.187 ,  21.903.921 
Centro-Oeste,  991.187 ,  973.765 ,  989.902 ,  1.010.649 ,  973.481 ,  908.682 ,  908.422 ,  931.628 ,  981.923 ,  1.074.489 ,  1.041.679 ,  1.026.434 ,  11.812.241 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  116.386 ,  117.707 ,  115.632 ,  121.565 ,  114.244 ,  112.297 ,  112.686 ,  118.603 ,  120.667 ,  135.226 ,  132.910 ,  115.966 ,  1.433.890 
Norte,  774.402 ,  733.362 ,  762.752 ,  780.418 ,  801.142 ,  815.810 ,  808.302 ,  819.248 ,  834.963 ,  867.778 ,  860.930 ,  767.727 ,  9.626.836 
Nordeste,  2.096.845 ,  2.050.647 ,  2.083.720 ,  2.108.676 ,  2.021.117 ,  2.011.536 ,  1.882.606 ,  1.943.342 ,  1.951.846 ,  2.089.939 ,  2.224.734 ,  2.164.394 ,  24.629.401 
Sudeste/C.Oeste,  6.978.255 ,  6.810.813 ,  7.070.573 ,  7.085.711 ,  6.638.069 ,  6.344.705 ,  6.218.407 ,  6.179.532 ,  6.470.817 ,  6.704.197 ,  6.769.134 ,  6.835.347 ,  80.105.558 
Sul,  1.991.358 ,  1.946.358 ,  1.917.647 ,  1.836.583 ,  1.826.148 ,  1.781.848 ,  1.768.602 ,  1.748.058 ,  1.751.268 ,  1.729.766 ,  1.771.098 ,  1.835.187 ,  21.903.921 
,,,,,,,,,,,,,
,2017,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL RESIDENCIAL,  11.905.635 ,  11.369.668 ,  12.148.953 ,  11.135.480 ,  10.939.059 ,  10.790.711 ,  10.428.729 ,  10.475.249 ,  11.096.707 ,  11.174.696 ,  11.462.132 ,  11.441.479 ,  134.368.498 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  746.531 ,  678.124 ,  725.088 ,  725.326 ,  791.781 ,  806.273 ,  767.490 ,  847.732 ,  865.723 ,  867.252 ,  851.687 ,  823.516 ,  9.496.523 
Nordeste,  2.274.880 ,  2.215.583 ,  2.335.888 ,  2.281.067 ,  2.321.918 ,  2.241.692 ,  2.085.165 ,  2.110.113 ,  2.177.898 ,  2.278.110 ,  2.357.774 ,  2.378.954 ,  27.059.042 
Sudeste,  5.934.320 ,  5.629.521 ,  6.041.993 ,  5.431.606 ,  5.290.835 ,  5.139.605 ,  5.061.387 ,  4.974.452 ,  5.307.233 ,  5.361.592 ,  5.537.482 ,  5.544.800 ,  65.254.826 
Sul,  2.006.171 ,  1.948.153 ,  2.085.597 ,  1.729.936 ,  1.599.966 ,  1.684.856 ,  1.679.450 ,  1.666.071 ,  1.718.434 ,  1.678.750 ,  1.693.977 ,  1.755.588 ,  21.246.949 
Centro-Oeste,  943.733 ,  898.287 ,  960.387 ,  967.545 ,  934.559 ,  918.285 ,  835.237 ,  876.881 ,  1.027.419 ,  988.992 ,  1.021.212 ,  938.621 ,  11.311.158 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  115.692 ,  109.870 ,  114.560 ,  111.413 ,  116.106 ,  116.145 ,  113.177 ,  123.178 ,  128.223 ,  129.301 ,  132.722 ,  126.122 ,  1.436.509 
Norte,  763.653 ,  701.762 ,  727.317 ,  748.618 ,  803.566 ,  826.709 ,  793.479 ,  859.644 ,  881.074 ,  901.232 ,  881.637 ,  855.879 ,  9.744.570 
Nordeste,  2.025.531 ,  1.974.120 ,  2.101.578 ,  2.031.910 ,  2.068.685 ,  1.980.310 ,  1.826.421 ,  1.840.330 ,  1.890.289 ,  1.975.989 ,  2.060.154 ,  2.092.392 ,  23.867.709 
Sudeste/C.Oeste,  6.994.588 ,  6.635.763 ,  7.119.901 ,  6.513.603 ,  6.350.736 ,  6.182.691 ,  6.016.202 ,  5.986.026 ,  6.478.687 ,  6.489.424 ,  6.693.642 ,  6.611.498 ,  78.072.761 
