Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2024*,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  14.939.823 ,  14.665.327 ,  15.968.344 ,  15.834.416 ,  15.738.389 ,  15.630.874 ,  15.688.152 ,  16.110.366 ,  15.962.808 ,  16.222.376 ,  16.051.883 ,  15.658.993 ,  188.471.752 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.422.648 ,  1.294.358 ,  1.459.779 ,  1.387.132 ,  1.458.824 ,  1.404.938 ,  1.449.204 ,  1.465.551 ,  1.476.622 ,  1.458.835 ,  1.362.076 ,  1.406.046 ,  17.046.014 
Nordeste,  2.221.632 ,  2.150.772 ,  2.355.961 ,  2.330.623 ,  2.310.389 ,  2.291.241 ,  2.230.897 ,  2.332.251 ,  2.359.756 ,  2.397.757 ,  2.320.630 ,  2.334.680 ,  27.636.588 
Sudeste,  7.613.547 ,  7.601.957 ,  8.087.626 ,  8.091.186 ,  8.016.212 ,  8.051.599 ,  8.112.479 ,  8.276.470 ,  8.164.224 ,  8.374.185 ,  8.360.686 ,  8.137.734 ,  96.887.905 
Sul,  2.827.128 ,  2.775.614 ,  3.188.636 ,  3.118.180 ,  3.047.364 ,  2.984.613 ,  3.001.047 ,  3.081.929 ,  3.036.863 ,  3.049.369 ,  3.080.231 ,  2.883.193 ,  36.074.167 
Centro-Oeste,  854.869 ,  842.627 ,  876.342 ,  907.296 ,  905.601 ,  898.483 ,  894.525 ,  954.164 ,  925.342 ,  942.230 ,  928.259 ,  897.341 ,  10.827.077 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  11.671 ,  10.251 ,  11.635 ,  11.257 ,  11.481 ,  9.885 ,  10.743 ,  11.081 ,  10.208 ,  10.448 ,  10.761 ,  9.595 ,  129.016 
Norte,  1.800.224 ,  1.665.859 ,  1.905.098 ,  1.832.571 ,  1.907.134 ,  1.818.904 ,  1.884.853 ,  1.902.750 ,  1.897.892 ,  1.912.066 ,  1.819.721 ,  1.896.567 ,  22.243.641 
Nordeste,  1.787.890 ,  1.726.288 ,  1.852.617 ,  1.828.578 ,  1.802.927 ,  1.820.786 ,  1.736.887 ,  1.833.444 ,  1.878.750 ,  1.884.804 ,  1.803.222 ,  1.785.232 ,  21.741.426 
Sudeste/C.Oeste,  8.512.910 ,  8.487.314 ,  9.010.358 ,  9.043.830 ,  8.969.484 ,  8.996.687 ,  9.054.621 ,  9.281.162 ,  9.139.094 ,  9.365.689 ,  9.337.947 ,  9.084.406 ,  108.283.502 
Sul,  2.827.128 ,  2.775.614 ,  3.188.636 ,  3.118.180 ,  3.047.364 ,  2.984.613 ,  3.001.047 ,  3.081.929 ,  3.036.863 ,  3.049.369 ,  3.080.231 ,  2.883.193 ,  36.074.167 
,,,,,,,,,,,,,
,2022,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  14.777.350 ,  14.432.879 ,  15.484.490 ,  15.434.172 ,  15.500.311 ,  15.367.860 ,  15.797.974 ,  16.011.656 ,  15.676.465 ,  15.712.116 ,  15.393.376 ,  14.917.889 ,  184.506.536 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.329.963 ,  1.157.059 ,  1.245.408 ,  1.220.482 ,  1.301.786 ,  1.338.743 ,  1.434.485 ,  1.470.434 ,  1.382.033 ,  1.406.311 ,  1.397.504 ,  1.418.518 ,  16.102.728 
Nordeste,  1.905.277 ,  1.847.027 ,  1.966.527 ,  1.962.955 ,  1.931.990 ,  1.959.080 ,  2.110.243 ,  2.168.969 ,  2.111.745 ,  2.203.981 ,  2.129.110 ,  2.133.712 ,  24.430.616 
Sudeste,  7.806.272 ,  7.655.392 ,  8.275.731 ,  8.334.289 ,  8.345.363 ,  8.124.391 ,  8.270.863 ,  8.335.419 ,  8.241.268 ,  8.239.363 ,  8.038.235 ,  7.684.234 ,  97.350.820 
Sul,  2.899.932 ,  2.960.134 ,  3.135.339 ,  3.036.337 ,  3.042.105 ,  3.040.624 ,  3.079.402 ,  3.107.917 ,  3.025.423 ,  2.969.397 ,  2.954.303 ,  2.816.971 ,  36.067.885 
Centro-Oeste,  835.906 ,  813.267 ,  861.485 ,  880.109 ,  879.066 ,  905.022 ,  902.980 ,  928.916 ,  915.996 ,  893.064 ,  874.224 ,  864.454 ,  10.554.488 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  11.804 ,  11.821 ,  11.842 ,  11.754 ,  11.514 ,  10.428 ,  12.093 ,  13.002 ,  13.057 ,  12.176 ,  13.024 ,  12.641 ,  145.155 
Norte,  1.416.707 ,  1.234.003 ,  1.318.658 ,  1.303.725 ,  1.405.586 ,  1.471.818 ,  1.611.343 ,  1.686.140 ,  1.628.228 ,  1.698.868 ,  1.716.312 ,  1.774.420 ,  18.265.809 
Nordeste,  1.766.914 ,  1.719.153 ,  1.838.545 ,  1.826.956 ,  1.775.072 ,  1.772.619 ,  1.876.282 ,  1.893.180 ,  1.806.833 ,  1.852.775 ,  1.753.537 ,  1.719.736 ,  21.601.600 
Sudeste/C.Oeste,  8.681.993 ,  8.507.769 ,  9.180.106 ,  9.255.400 ,  9.266.033 ,  9.072.372 ,  9.218.854 ,  9.311.416 ,  9.202.924 ,  9.178.899 ,  8.956.200 ,  8.594.121 ,  108.426.087 
Sul,  2.899.932 ,  2.960.134 ,  3.135.339 ,  3.036.337 ,  3.042.105 ,  3.040.624 ,  3.079.402 ,  3.107.917 ,  3.025.423 ,  2.969.397 ,  2.954.303 ,  2.816.971 ,  36.067.885 
,,,,,,,,,,,,,
,2021,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  14.850.160 ,  14.394.090 ,  15.597.242 ,  15.217.380 ,  15.264.762 ,  15.002.131 ,  15.308.386 ,  15.451.276 ,  15.171.715 ,  15.546.302 ,  15.360.568 ,  15.077.226 ,  182.241.238 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.272.228 ,  1.212.473 ,  1.316.987 ,  1.318.890 ,  1.366.299 ,  1.313.691 ,  1.337.178 ,  1.338.245 ,  1.300.253 ,  1.329.457 ,  1.335.306 ,  1.351.313 ,  15.792.320 
Nordeste,  1.915.461 ,  1.833.665 ,  1.948.585 ,  1.867.040 ,  1.939.638 ,  1.850.538 ,  1.974.079 ,  1.990.913 ,  1.906.432 ,  1.978.232 ,  1.968.420 ,  2.017.876 ,  23.190.880 
Sudeste,  8.018.283 ,  7.688.680 ,  8.391.607 ,  8.105.557 ,  8.037.543 ,  7.998.327 ,  8.071.368 ,  8.131.905 ,  8.101.520 ,  8.304.664 ,  8.173.292 ,  7.969.827 ,  96.992.571 
Sul,  2.836.727 ,  2.849.240 ,  3.060.929 ,  3.077.864 ,  3.032.618 ,  2.962.469 ,  3.034.385 ,  3.084.583 ,  2.987.847 ,  3.031.087 ,  3.001.771 ,  2.866.379 ,  35.825.900 
Centro-Oeste,  807.461 ,  810.031 ,  879.134 ,  848.030 ,  888.662 ,  877.107 ,  891.377 ,  905.630 ,  875.663 ,  902.862 ,  881.778 ,  871.831 ,  10.439.567 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  14.331 ,  13.939 ,  13.664 ,  14.600 ,  15.307 ,  11.978 ,  12.237 ,  12.966 ,  13.290 ,  13.477 ,  12.823 ,  12.503 ,  161.115 
Norte,  1.346.547 ,  1.280.508 ,  1.389.664 ,  1.382.370 ,  1.435.830 ,  1.404.283 ,  1.438.921 ,  1.439.978 ,  1.408.320 ,  1.436.824 ,  1.443.132 ,  1.453.789 ,  16.860.166 
