,2004,,,,,,,,,,,,2005,,,,,,,,,,,,2006,,,,,,,,,,,,2007,,,,,,,,,,,,2008,,,,,,,,,,,,2009,,,,,,,,,,,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024*,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Piauí,25.398,20.769,20.862,24.450,22.877,24.519,22.937,22.760,25.997,25.217,26.629,24.392,26.257,24.389,22.805,24.227,25.040,25.661,26.116,24.497,27.812,28.367,28.133,28.547,26.508,25.976,24.606,26.238,24.423,26.331,30.959,29.190,29.418,29.320,29.866,29.169,28.870,28.446,24.663,27.941,26.652,29.293,28.507,28.711,30.763,31.145,33.227,32.629,31.131,29.454,28.073,26.936,29.050,30.155,28.640,30.387,32.839,34.667,35.641,32.875,31.841,30.430,28.145,30.879,29.180,30.795,31.202,32.530,33.967,36.217,37.338,36.192,36.534,34.246,34.578,38.116,36.837,37.595,35.638,37.453,39.910,41.111,40.999,40.758,40.334,36.803,36.864,39.593,37.972,40.702,40.813,40.379,44.744,45.224,44.119,43.773,44.879,42.357,40.517,43.361,45.038,49.497,51.389,52.376,50.251,51.374,52.374,48.829,48.239,48.113,46.968,48.160,47.864,51.017,50.826,52.809,56.640,57.256,54.481,55.734,53.323,51.685,50.824,51.391,53.599,54.084,54.657,57.466,60.570,62.645,59.290,58.695,56.616,53.341,55.106,54.699,58.352,56.221,58.697,66.255,62.497,62.571,66.581,65.570,59.495,55.203,59.021,59.598,62.271,63.518,59.742,66.299,67.610,66.593,67.833,65.724,62.216,56.421,61.801,57.624,64.405,65.816,60.973,65.807,69.247,71.431,71.071,68.458,64.738,59.565,63.616,61.875,64.818,64.829,61.337,69.491,71.905,74.464,73.293,69.362,62.518,63.129,62.861,62.664,66.947,65.372,65.404,68.070,70.765,74.530,75.341,74.102,68.529,64.947,62.081,49.516,50.547,50.743,54.938,56.578,63.358,70.103,67.637,70.220,66.118,60.095,60.425,60.102,65.808,68.381,69.214,72.489,74.529,75.377,73.470,74.956,66.746,64.408,67.714,66.953,70.954,69.828,70.545,71.933,77.695,78.215,73.635,74.491,68.590,64.915,71.124,69.513,74.618,73.832,74.616,79.158,84.283,85.288,84.302,81.191,78.018,72.692,76.114,75.892,,,,,,,,
Ceará,95.718,86.036,90.007,97.130,90.758,93.769,87.315,92.398,97.622,93.272,96.395,101.414,99.326,97.263,99.345,98.830,100.472,98.065,96.917,100.089,99.586,103.127,103.745,108.938,107.810,104.186,101.747,103.447,99.913,103.436,98.426,104.915,105.817,109.236,110.164,112.351,110.786,110.697,101.213,112.312,107.520,112.591,106.508,110.926,107.934,114.520,116.767,118.497,118.417,116.450,114.582,108.805,114.090,113.885,115.983,117.259,119.525,127.253,126.593,131.324,128.613,121.608,117.059,121.182,119.168,119.254,120.288,127.589,126.635,133.728,135.018,140.364,137.010,134.264,138.696,142.150,140.483,142.256,137.662,133.873,141.593,141.650,144.785,150.187,141.711,134.576,134.750,138.705,133.544,141.855,139.829,140.805,150.002,149.882,150.709,155.315,156.323,154.907,146.303,158.463,154.547,156.796,151.133,155.994,158.790,161.355,161.965,166.487,164.701,168.713,162.276,164.209,172.860,170.233,153.491,168.367,174.842,181.234,186.830,175.077,173.887,182.918,177.436,168.928,177.896,173.780,176.854,179.493,184.053,193.527,198.361,195.763,188.883,187.661,176.349,180.580,194.434,188.806,180.279,190.027,184.865,184.247,196.557,201.251,184.890,179.417,191.517,190.823,191.988,195.165,188.318,191.645,198.138,198.955,200.940,206.043,183.371,178.917,178.493,184.059,188.684,192.188,184.886,187.686,190.149,193.675,201.351,196.053,163.426,155.677,155.272,160.337,165.384,166.066,155.822,160.124,161.877,158.480,164.388,164.273,198.959,204.923,192.245,188.354,197.694,203.195,202.452,193.538,199.113,198.726,206.332,223.728,205.228,193.513,187.448,152.661,143.492,149.120,159.602,165.374,175.508,195.597,187.781,196.069,169.801,189.154,184.112,165.083,169.764,181.769,182.562,192.306,195.401,193.283,201.546,208.773,203.933,188.181,182.633,192.151,184.875,191.863,181.182,185.456,190.513,189.588,195.777,195.558,200.843,196.893,179.686,198.290,193.551,209.262,187.632,201.380,201.891,200.356,215.924,212.461,216.769,221.329,198.606,210.942,,,,,,,,
Rio Grande do Norte,41.973,37.909,41.133,43.495,41.067,41.715,39.380,40.479,41.184,42.784,46.701,48.151,44.329,45.649,46.739,50.212,50.199,47.138,48.556,48.556,48.131,49.930,51.808,56.997,51.278,52.649,54.760,53.843,53.771,52.340,50.454,53.409,51.670,55.771,57.178,57.496,56.861,56.638,57.056,59.260,56.903,55.117,53.875,54.288,55.759,57.489,59.549,61.824,62.447,63.159,65.050,60.398,60.536,58.758,58.168,59.149,61.939,63.778,66.562,70.854,65.437,64.074,64.188,66.802,61.953,61.988,60.053,62.724,63.803,69.752,72.024,76.762,68.716,66.704,73.976,75.468,71.800,70.562,68.539,66.690,67.576,71.252,73.920,76.630,72.180,72.113,74.547,74.262,69.677,70.804,67.970,69.853,70.746,74.823,79.157,82.528,77.028,73.892,78.150,77.124,78.468,74.334,72.757,73.668,75.499,76.927,80.366,83.856,82.602,79.561,82.970,85.442,85.394,80.431,77.505,79.949,80.166,85.748,86.838,91.218,87.086,86.007,90.362,89.784,89.580,83.416,84.278,86.572,87.757,91.123,95.252,95.406,92.813,92.129,93.705,91.033,93.725,91.885,85.167,84.311,88.016,89.199,91.173,95.461,88.928,88.024,91.659,92.500,90.224,89.679,86.132,87.919,90.159,92.718,94.799,97.525,93.579,90.449,95.273,96.059,94.573,92.688,84.605,88.259,89.818,93.348,94.167,98.912,97.944,93.873,97.977,92.947,92.465,90.910,84.501,91.188,91.645,97.499,100.548,100.521,100.272,99.306,97.324,94.894,96.822,94.516,91.843,92.165,91.873,97.966,100.832,102.015,100.716,96.542,97.041,75.442,70.672,68.252,69.992,74.377,81.109,87.959,80.564,83.591,97.588,92.944,90.412,89.258,85.278,89.623,87.889,87.568,89.569,93.434,96.501,101.341,98.052,90.750,94.782,94.357,93.466,85.458,84.498,83.430,87.194,88.346,93.141,94.330,95.605,92.574,91.615,90.042,93.061,88.769,84.327,86.854,87.106,91.013,92.977,92.670,96.587,93.345,95.051,95.542,,,,,,,,
Paraíba,35.917,32.453,34.378,35.924,33.864,33.950,32.155,31.641,35.194,34.712,35.684,37.017,38.356,36.720,37.610,39.198,36.282,36.080,33.954,34.479,35.575,36.889,38.489,39.098,38.453,38.581,39.373,40.466,39.707,39.473,35.835,38.515,38.252,39.461,42.384,41.330,41.485,40.001,42.582,40.934,42.700,38.408,37.154,38.010,37.082,41.417,44.319,43.773,47.688,45.756,46.485,46.132,44.377,42.057,41.268,43.430,42.733,44.127,45.426,47.327,48.591,45.356,48.036,48.307,47.305,45.329,45.239,46.160,47.000,50.536,51.196,54.074,51.643,50.842,56.955,55.802,55.270,53.569,51.535,50.272,51.769,53.709,58.444,61.326,57.558,55.898,58.603,58.061,56.765,55.211,54.012,54.509,55.873,58.791,61.845,66.786,63.794,59.809,65.450,65.793,64.122,61.983,59.339,61.766,59.352,62.834,63.361,66.834,70.710,70.084,72.344,72.385,70.242,65.629,64.942,64.951,65.417,67.396,69.527,72.122,76.705,78.211,76.793,76.364,75.334,71.104,68.665,67.532,71.091,72.332,75.661,76.573,80.399,81.176,81.162,78.984,79.062,75.400,68.829,71.150,75.443,74.802,76.398,77.039,76.950,74.986,78.988,77.319,75.672,73.653,71.717,71.678,75.342,75.419,78.787,80.025,77.789,75.464,84.392,78.534,79.223,75.512,69.229,72.670,72.301,75.805,80.456,80.686,81.586,78.208,83.307,81.804,78.053,75.919,72.381,75.855,74.122,81.102,83.583,82.689,83.434,81.967,81.788,85.176,83.888,78.212,75.076,74.216,77.041,82.752,83.770,87.974,86.876,87.291,83.629,65.748,63.372,57.337,60.750,65.053,69.631,74.868,81.720,82.398,78.425,78.298,76.071,76.765,77.258,73.489,74.390,74.542,75.975,82.311,82.978,89.335,83.536,77.935,86.549,82.582,83.115,76.145,74.383,73.278,75.917,78.171,83.149,86.367,85.341,83.935,84.445,86.007,88.280,78.311,74.196,77.917,81.225,84.550,89.345,91.102,93.248,90.711,94.813,96.817,,,,,,,,
Pernambuco,119.008,115.908,123.234,129.722,124.960,122.253,115.604,117.648,125.223,129.659,130.639,139.701,141.513,126.951,146.361,140.778,137.998,126.420,120.830,123.262,127.627,136.254,141.151,150.499,141.625,135.114,150.007,145.981,141.943,132.330,128.855,129.606,132.674,144.429,147.993,159.147,149.516,143.501,150.797,149.984,148.956,140.282,136.406,137.024,133.877,147.188,150.822,166.963,154.352,149.756,160.398,151.061,153.584,144.640,142.335,136.408,145.177,158.485,161.308,177.928,147.143,153.919,159.619,165.924,162.023,155.756,150.004,153.504,153.520,164.599,165.916,194.305,163.820,161.345,184.802,169.434,178.167,163.647,162.476,156.268,157.812,176.679,179.755,203.628,173.184,169.977,193.567,185.767,175.455,166.683,165.281,175.227,174.544,187.472,191.886,207.149,194.202,188.266,200.903,195.343,203.251,190.055,178.850,185.448,182.625,193.273,206.876,210.520,212.320,208.269,214.442,226.951,217.459,201.732,195.949,202.584,204.898,218.414,220.342,224.410,223.914,214.210,220.386,228.174,222.682,223.610,217.093,218.157,222.414,235.707,240.349,249.820,241.901,241.924,245.745,249.196,254.959,235.790,218.104,220.189,228.000,241.315,240.866,259.060,240.302,234.875,253.892,251.043,247.926,234.518,226.294,227.118,232.268,245.099,249.835,258.625,242.095,240.673,254.091,252.670,244.806,237.840,221.418,220.438,224.888,240.495,249.095,264.528,240.950,243.437,252.288,247.046,246.375,237.248,223.278,232.164,232.871,253.341,263.624,274.196,248.332,248.078,265.939,261.864,269.293,241.510,239.162,232.834,233.908,262.130,265.407,284.365,254.588,255.539,257.793,206.977,189.868,177.057,197.161,203.113,213.380,233.029,222.231,220.111,250.396,239.493,243.472,234.164,231.750,228.761,222.667,226.384,230.144,249.814,257.271,268.509,255.507,248.323,263.697,258.089,254.549,240.911,233.446,237.934,240.030,245.684,261.536,258.023,253.438,247.357,259.556,254.308,258.451,246.870,231.927,234.729,242.630,256.160,262.373,272.965,257.854,266.483,257.635,276.728,,,,,,,,
Alagoas,31.461,30.119,30.572,32.021,30.512,31.649,27.614,27.011,29.066,29.911,30.409,33.533,35.228,33.760,32.776,34.531,33.949,31.955,35.552,38.178,37.231,38.527,43.812,41.441,35.733,35.146,35.905,37.295,33.799,32.064,30.528,31.082,33.457,34.135,36.222,36.422,40.022,38.688,35.490,38.543,36.098,36.789,33.926,34.335,34.641,35.671,40.390,37.452,40.988,40.368,40.169,40.055,39.594,36.770,34.913,35.799,36.565,37.526,41.212,40.888,43.808,40.826,37.943,43.465,42.189,37.713,36.110,40.052,37.305,39.097,43.434,45.216,46.017,43.610,43.894,47.424,46.697,46.110,39.878,42.248,42.224,43.287,48.096,48.435,50.502,50.460,48.192,52.671,46.175,46.589,43.309,43.752,45.185,44.966,49.700,50.979,51.811,52.426,59.998,54.865,53.402,55.321,47.685,54.310,48.136,53.530,54.434,59.071,57.359,57.853,57.843,60.278,56.972,55.769,53.248,54.077,55.090,59.289,64.881,67.709,65.332,65.672,61.063,66.164,62.474,59.482,56.192,57.762,61.772,63.127,66.089,66.973,66.029,64.559,66.984,69.845,64.638,61.296,55.211,55.631,59.121,61.463,63.501,66.198,64.008,64.324,66.954,63.627,61.919,59.062,56.828,59.612,59.111,61.980,64.899,67.732,63.579,65.801,67.970,66.472,64.815,57.802,55.784,59.315,56.537,64.326,65.133,67.350,69.389,67.089,62.451,64.251,62.938,58.040,59.028,60.189,60.169,64.834,67.081,66.377,65.730,66.355,67.220,67.898,67.442,59.509,59.650,61.393,62.855,68.803,70.590,74.598,71.408,71.304,67.907,50.846,49.234,48.867,50.907,54.585,57.793,65.288,69.166,71.922,69.484,67.327,70.257,63.682,65.000,60.409,62.185,62.502,67.079,72.262,76.224,77.851,73.823,71.483,76.550,72.701,73.134,61.824,65.579,67.273,69.412,74.817,75.677,80.190,80.219,75.201,82.859,79.060,79.261,68.681,69.168,70.787,71.561,76.946,83.235,83.171,87.086,83.669,89.432,86.378,,,,,,,,
Sergipe,27.768,22.535,25.006,26.187,25.186,24.530,22.744,22.054,23.161,23.534,30.826,26.428,26.687,26.018,26.121,27.005,26.087,26.177,23.645,23.525,25.242,27.620,28.447,28.760,28.692,27.946,28.559,29.904,28.860,27.605,25.680,25.815,26.570,27.707,29.327,31.009,29.528,29.573,28.893,30.263,29.217,29.526,26.718,27.290,27.146,28.353,30.351,31.606,31.727,31.591,32.232,33.114,32.748,31.081,30.321,30.921,32.623,34.578,36.221,36.600,37.109,36.820,35.484,37.535,34.164,33.815,32.912,33.025,33.687,37.923,37.555,40.405,38.546,36.359,40.270,38.973,38.447,35.833,35.027,35.512,35.251,37.875,39.796,42.042,41.442,39.225,42.240,41.667,40.446,36.469,36.460,37.879,38.033,39.418,41.021,44.389,45.844,43.541,46.107,45.553,44.090,42.359,40.878,41.771,40.485,41.437,42.278,45.661,48.779,48.736,49.303,49.741,46.928,44.448,43.199,43.342,43.960,45.040,45.444,47.644,51.216,53.503,50.942,50.956,49.356,46.594,44.147,45.033,47.168,48.091,49.196,48.389,53.565,53.807,53.571,52.865,50.343,46.790,44.084,44.103,47.398,48.300,49.319,50.274,50.920,51.043,52.758,50.948,50.053,47.248,45.265,46.451,47.321,48.537,51.616,52.176,51.625,50.526,54.019,52.264,50.796,47.705,43.462,45.637,44.288,47.464,51.029,51.313,53.537,52.719,56.003,54.912,52.676,49.543,47.078,49.783,48.983,53.092,54.537,54.445,55.940,57.028,56.959,57.369,57.353,51.427,49.229,49.816,50.688,53.504,56.604,58.243,56.384,58.181,55.652,41.882,42.333,39.779,39.001,40.863,45.561,49.423,52.655,53.517,54.482,48.331,53.270,50.582,48.124,46.427,46.693,46.849,48.858,52.566,53.535,55.173,54.724,53.340,56.140,54.006,53.427,48.810,47.091,47.944,48.527,51.469,52.449,54.361,56.078,52.261,56.311,55.817,54.133,50.606,48.747,49.975,51.285,53.247,56.381,57.425,58.620,57.503,61.366,61.140,,,,,,,,
Bahia,171.570,167.151,166.958,174.506,158.750,159.294,149.743,146.609,154.636,163.207,173.180,177.368,186.783,189.454,181.023,181.349,178.716,163.234,158.713,165.508,167.949,176.972,182.700,184.189,186.144,181.325,197.026,186.249,173.689,163.173,167.646,165.985,171.934,177.105,191.246,188.075,202.048,193.891,190.341,199.301,193.791,186.495,181.691,184.067,176.446,192.086,206.623,206.491,217.286,209.305,211.893,214.190,204.498,190.295,189.364,187.704,196.412,216.358,208.249,216.615,217.439,216.416,236.739,230.159,201.608,200.016,200.666,207.652,217.115,225.759,228.515,252.782,229.763,229.568,265.590,227.803,235.659,226.349,205.411,213.932,215.771,229.032,251.219,267.417,254.687,242.228,260.594,245.121,242.290,221.716,223.353,236.317,229.013,240.152,237.908,263.285,263.087,248.565,277.347,254.384,265.703,242.681,232.588,242.372,240.402,250.806,254.791,261.117,275.492,275.258,299.026,306.369,274.114,241.814,262.353,257.179,256.931,287.094,282.089,289.542,296.827,293.592,304.380,305.454,288.160,266.215,263.545,268.727,275.479,292.908,306.001,306.421,307.632,306.675,327.640,318.764,300.189,276.690,272.769,279.213,294.003,310.482,317.495,344.355,325.022,312.918,353.144,330.783,309.832,302.091,272.486,291.262,297.955,306.765,320.423,333.403,321.384,311.812,330.743,322.808,316.804,302.298,271.600,280.681,284.287,308.037,321.840,333.920,322.878,323.908,332.232,333.090,315.490,301.509,286.842,299.949,297.552,330.752,346.799,337.764,332.360,339.868,372.290,348.637,344.142,312.273,304.005,292.924,312.063,337.315,359.117,371.746,339.980,336.613,344.345,269.238,246.574,228.906,246.467,245.026,266.407,301.453,277.031,289.224,331.779,319.638,312.357,312.147,293.569,297.831,286.259,291.250,300.981,328.025,333.954,346.050,336.517,339.917,358.458,340.975,333.985,315.686,302.956,306.620,309.772,322.452,340.056,343.052,343.461,349.267,355.143,351.334,337.433,330.583,301.201,309.859,326.892,329.688,352.864,363.878,359.197,356.307,357.060,368.111,,,,,,,,
Minas Gerais,333.506,297.342,314.055,317.587,310.580,297.820,284.795,289.283,312.165,322.417,335.429,327.306,344.360,320.237,322.344,353.148,334.549,322.935,309.558,306.466,333.993,337.100,352.232,336.868,352.825,344.664,360.140,353.610,338.399,330.226,314.171,316.898,342.274,342.587,358.357,359.187,373.372,357.509,356.288,386.218,374.194,349.180,329.064,348.505,356.356,370.086,393.521,385.185,419.298,377.963,369.764,376.109,418.992,381.853,377.831,377.536,380.086,404.445,448.062,391.177,433.208,408.293,425.259,439.425,424.114,381.569,380.859,413.919,403.772,428.660,456.102,449.129,459.675,433.941,459.439,465.710,429.017,413.968,389.078,416.424,430.900,449.147,450.351,470.537,505.924,473.754,492.653,500.262,478.747,452.682,444.816,460.514,487.883,486.604,484.481,496.598,504.822,504.681,542.896,540.611,497.139,489.682,474.239,488.257,502.777,522.099,561.176,539.269,593.515,527.284,529.872,560.201,537.147,518.530,490.776,524.382,529.514,534.470,579.588,569.406,589.778,626.537,571.488,580.318,568.195,537.958,515.422,526.756,539.435,588.252,626.947,581.103,617.419,616.564,570.969,596.729,548.942,518.911,500.896,531.856,537.176,589.623,624.551,587.454,585.257,569.232,563.120,604.088,557.483,534.630,482.139,504.288,543.779,553.254,570.440,554.679,581.468,579.192,569.619,578.404,536.222,533.266,492.742,497.936,524.487,532.847,584.257,545.538,589.449,582.787,571.647,599.766,548.164,511.892,502.592,525.491,540.060,591.316,586.614,578.392,586.315,606.837,580.806,575.126,572.013,534.628,500.574,517.753,559.718,580.853,622.634,583.494,613.555,595.455,570.154,482.357,423.300,417.616,416.945,453.505,472.448,602.751,537.609,540.248,616.816,577.391,594.217,570.776,530.747,542.068,519.192,559.144,614.812,642.540,616.969,621.810,666.040,647.765,731.935,731.948,680.840,637.688,633.249,634.225,656.998,701.546,677.052,713.507,691.838,688.490,785.091,732.948,706.403,666.009,654.997,701.839,721.290,821.708,812.151,816.738,782.405,738.397,784.005,780.363,,,,,,,,
Espírito Santo,84.820,83.917,86.051,83.633,82.244,75.631,75.145,75.329,78.583,81.687,82.689,86.497,90.580,85.165,91.927,94.214,86.931,84.456,84.418,83.495,88.558,88.311,89.532,91.209,101.901,101.644,103.277,99.693,92.240,86.109,82.697,91.124,89.572,91.027,93.966,102.084,103.723,104.789,107.425,112.919,103.734,95.068,95.435,94.554,95.250,99.490,114.151,113.024,114.890,111.177,116.013,113.526,111.173,106.347,99.503,104.379,102.343,111.024,109.665,106.487,113.663,115.401,119.814,112.563,101.652,107.611,106.340,108.842,109.583,113.926,113.285,119.324,128.505,126.726,123.780,126.525,120.145,108.413,102.297,102.157,111.429,112.939,114.477,133.829,128.254,135.287,131.414,128.078,117.346,113.174,109.144,116.101,117.514,119.896,121.968,134.714,131.089,140.819,149.114,141.921,127.714,132.348,124.731,124.770,127.272,131.029,140.799,147.533,158.247,145.762,147.921,149.404,138.355,134.065,127.321,139.785,131.026,138.417,147.252,149.518,155.211,163.895,160.076,156.749,147.394,140.297,134.158,138.342,138.022,151.751,156.474,162.178,172.805,165.333,170.469,160.274,145.355,143.683,136.709,138.691,139.625,155.198,153.347,165.957,154.438,169.677,173.810,166.011,149.122,137.629,128.671,132.957,141.508,137.997,143.897,151.880,168.414,156.131,164.245,155.291,139.315,142.791,127.864,123.510,130.591,140.469,152.866,150.010,160.273,157.745,173.559,154.832,147.815,138.821,132.344,141.492,124.329,141.459,139.071,151.376,155.638,163.971,170.678,153.758,152.802,132.773,129.652,124.253,130.917,145.445,154.207,159.694,158.809,156.287,155.824,119.166,109.376,105.914,111.809,115.493,128.308,139.594,137.280,161.656,162.149,151.224,158.769,138.095,134.950,132.117,127.647,129.759,142.230,145.424,142.271,155.893,161.326,163.677,186.197,167.467,154.090,137.109,131.802,141.382,136.535,150.188,152.476,156.328,164.737,174.009,190.900,174.060,160.151,150.047,144.765,156.953,159.963,182.478,187.424,202.354,185.656,195.613,212.645,203.481,,,,,,,,
Rio de Janeiro,567.235,594.478,585.939,600.339,564.569,506.022,524.985,503.307,537.621,555.512,561.987,614.238,626.707,585.317,631.196,655.122,596.689,593.240,546.328,553.052,601.572,583.315,613.280,654.886,618.185,668.450,680.072,649.173,597.796,564.018,552.084,569.891,564.207,602.321,620.875,657.064,665.897,639.105,726.537,739.349,639.737,577.943,575.080,575.956,621.840,620.011,654.176,659.305,708.970,673.068,698.453,691.122,672.621,605.538,596.532,628.142,630.105,649.806,691.497,665.385,687.639,719.104,750.902,717.088,661.512,617.397,641.927,597.876,654.141,675.759,739.456,781.186,778.307,786.267,803.336,755.229,699.622,645.613,621.335,648.345,671.971,689.529,698.014,811.233,811.728,832.039,819.817,783.202,738.212,666.181,670.427,697.341,707.780,726.117,743.563,778.591,787.164,814.505,869.194,822.943,790.727,750.148,741.606,787.420,755.483,799.540,861.010,874.682,921.196,874.686,896.930,858.499,833.475,815.069,784.956,780.516,796.809,851.243,860.899,889.383,953.377,1.015.606,970.147,908.946,859.974,824.231,809.333,785.455,825.666,910.775,931.614,933.758,1.057.677,1.031.538,1.032.246,970.970,893.693,856.180,822.880,846.190,851.350,923.789,951.513,946.480,974.534,934.857,965.898,992.487,881.346,796.046,770.328,782.348,810.572,822.764,860.729,914.817,981.023,959.588,1.007.919,889.208,945.006,782.464,738.092,759.321,776.825,813.670,841.378,888.474,915.763,856.201,944.221,904.972,846.034,772.915,764.238,775.992,763.390,852.654,826.449,912.160,998.352,930.608,951.812,879.974,897.422,794.133,755.096,757.279,776.396,832.592,873.037,869.860,910.487,888.707,867.073,646.821,593.771,609.429,648.059,675.058,732.130,799.266,764.335,882.708,824.100,811.453,852.509,772.565,719.799,695.489,656.357,678.401,725.812,730.244,729.056,810.534,822.736,832.485,885.251,848.573,766.995,693.639,686.866,690.904,693.922,707.229,758.398,800.252,792.826,836.768,888.839,830.441,760.788,713.134,686.824,725.866,763.389,775.665,829.114,870.060,880.624,840.506,877.979,846.565,,,,,,,,
São Paulo,1.464.892,1.421.228,1.416.476,1.579.356,1.386.690,1.280.007,1.348.602,1.324.733,1.430.716,1.455.419,1.438.769,1.475.363,1.502.671,1.480.720,1.538.797,1.598.831,1.484.175,1.463.026,1.414.604,1.391.125,1.487.558,1.511.450,1.526.161,1.551.374,1.565.125,1.678.502,1.671.868,1.670.104,1.506.107,1.474.424,1.443.154,1.519.630,1.579.574,1.573.310,1.630.453,1.723.987,1.646.738,1.684.709,1.748.942,1.804.750,1.647.064,1.559.608,1.522.661,1.494.738,1.665.504,1.658.788,1.742.436,1.759.015,1.712.535,1.775.224,1.740.362,1.737.463,1.693.988,1.601.754,1.611.166,1.681.832,1.732.128,1.789.872,1.859.167,1.808.926,1.754.774,1.806.503,1.934.482,1.898.231,1.741.810,1.676.350,1.629.639,1.696.090,1.782.303,1.847.923,1.918.770,2.063.962,1.893.540,1.946.614,2.021.962,1.998.557,1.873.228,1.782.244,1.707.790,1.834.983,1.902.262,1.881.170,1.916.409,2.108.546,2.041.243,2.132.679,2.109.646,2.101.063,1.976.148,1.881.431,1.854.040,1.920.489,2.042.227,2.026.703,2.052.934,2.114.706,2.089.022,2.127.238,2.302.532,2.306.903,2.064.179,2.061.323,1.921.554,2.003.427,2.177.204,2.155.608,2.353.543,2.308.213,2.324.194,2.292.030,2.327.055,2.276.594,2.192.384,2.122.055,2.071.810,2.068.582,2.231.529,2.331.562,2.462.167,2.563.194,2.599.179,2.765.679,2.595.727,2.526.917,2.428.985,2.203.224,2.209.235,2.274.013,2.333.861,2.489.951,2.620.545,2.547.228,2.628.729,2.633.359,2.546.422,2.598.202,2.391.126,2.283.526,2.201.113,2.255.344,2.252.327,2.467.949,2.532.951,2.558.581,2.513.727,2.493.505,2.452.440,2.635.436,2.372.761,2.142.729,2.126.062,2.104.782,2.210.243,2.184.559,2.326.983,2.393.933,2.488.983,2.458.074,2.534.601,2.501.492,2.265.399,2.218.787,2.131.486,2.062.740,2.291.476,2.365.924,2.399.714,2.467.771,2.414.374,2.457.863,2.529.179,2.582.438,2.384.676,2.221.854,2.170.348,2.131.668,2.279.357,2.310.430,2.427.939,2.498.088,2.630.108,2.664.088,2.600.167,2.507.063,2.519.082,2.264.763,2.161.770,2.176.107,2.301.143,2.525.546,2.643.747,2.581.117,2.546.452,2.550.961,2.479.819,2.070.445,1.855.630,1.727.509,1.838.305,1.954.213,2.098.762,2.348.592,2.279.423,2.381.197,2.517.317,2.449.851,2.842.044,2.304.667,2.085.995,2.096.848,2.030.064,2.036.757,2.255.854,2.333.937,2.302.508,2.488.040,2.477.315,2.508.519,2.596.482,2.689.431,2.399.989,2.212.539,2.216.133,2.262.362,2.320.905,2.258.145,2.413.940,2.517.700,2.548.374,2.557.049,2.632.175,2.768.647,2.429.180,2.394.251,2.255.060,2.353.777,2.522.288,2.668.137,2.740.502,2.894.269,2.862.907,2.857.854,2.892.123,2.895.258,,,,,,,,
