Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2024*,,,,,,,,,,,,
TOTAL COMERCIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
Nordeste,  1.171.967 ,  1.133.425 ,  1.185.545 ,  1.160.978 ,  1.146.570 ,  1.089.670 ,  1.058.756 ,  1.072.935 ,  1.098.159 ,  1.127.753 ,  1.174.437 ,  1.185.406 ,  13.605.602 
Sudeste/C.Oeste,  4.825.106 ,  4.850.073 ,  5.151.968 ,  5.184.587 ,  4.721.163 ,  4.354.199 ,  4.342.655 ,  4.430.383 ,  4.529.759 ,  4.575.011 ,  4.744.515 ,  4.910.314 ,  56.619.732 
Sul,  1.515.133 ,  1.554.091 ,  1.596.205 ,  1.425.074 ,  1.279.603 ,  1.237.062 ,  1.266.103 ,  1.282.905 ,  1.237.397 ,  1.248.750 ,  1.312.173 ,  1.482.922 ,  16.437.417 
,,,,,,,,,,,,,
,2021,,,,,,,,,,,,
TOTAL COMERCIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  7.654.105 ,  7.530.943 ,  8.033.613 ,  7.287.225 ,  6.837.775 ,  6.781.309 ,  6.611.357 ,  6.843.493 ,  7.274.689 ,  7.489.159 ,  7.484.640 ,  7.959.463 ,  87.787.770 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  388.695 ,  368.359 ,  381.057 ,  407.650 ,  427.604 ,  442.573 ,  443.522 ,  498.127 ,  473.409 ,  477.738 ,  461.989 ,  460.742 ,  5.231.465 
Nordeste,  1.220.215 ,  1.192.507 ,  1.188.985 ,  1.151.481 ,  1.139.564 ,  1.149.256 ,  1.139.051 ,  1.165.374 ,  1.196.069 ,  1.261.749 ,  1.287.869 ,  1.335.987 ,  14.428.106 
Sudeste,  4.120.382 ,  3.989.920 ,  4.447.539 ,  3.786.103 ,  3.471.491 ,  3.466.522 ,  3.333.260 ,  3.404.061 ,  3.738.709 ,  3.852.145 ,  3.790.803 ,  4.076.276 ,  45.477.210 
Sul,  1.348.625 ,  1.380.638 ,  1.402.155 ,  1.353.177 ,  1.228.535 ,  1.143.921 ,  1.151.509 ,  1.206.160 ,  1.205.796 ,  1.236.577 ,  1.309.594 ,  1.436.920 ,  15.403.606 
Centro-Oeste,  576.189 ,  599.518 ,  613.878 ,  588.814 ,  570.581 ,  579.038 ,  544.014 ,  569.771 ,  660.707 ,  660.950 ,  634.385 ,  649.539 ,  7.247.385 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  42.334 ,  40.456 ,  39.367 ,  44.332 ,  43.999 ,  42.268 ,  42.582 ,  45.347 ,  49.528 ,  49.022 ,  48.047 ,  46.781 ,  534.064 
Norte,  383.992 ,  363.893 ,  382.273 ,  397.052 ,  419.017 ,  431.765 ,  442.873 ,  492.374 ,  460.372 ,  464.889 ,  453.006 ,  454.299 ,  5.145.805 
Nordeste,  1.117.298 ,  1.094.495 ,  1.089.532 ,  1.051.048 ,  1.035.811 ,  1.045.873 ,  1.031.088 ,  1.053.043 ,  1.081.695 ,  1.146.149 ,  1.174.602 ,  1.220.997 ,  13.141.631 
Sudeste/C.Oeste,  4.761.856 ,  4.651.460 ,  5.120.286 ,  4.441.615 ,  4.110.413 ,  4.117.482 ,  3.943.304 ,  4.046.570 ,  4.477.297 ,  4.592.521 ,  4.499.392 ,  4.800.467 ,  53.562.664 
Sul,  1.348.625 ,  1.380.638 ,  1.402.155 ,  1.353.177 ,  1.228.535 ,  1.143.921 ,  1.151.509 ,  1.206.160 ,  1.205.796 ,  1.236.577 ,  1.309.594 ,  1.436.920 ,  15.403.606 
,,,,,,,,,,,,,
,2020,,,,,,,,,,,,
TOTAL COMERCIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  8.019.694 ,  8.039.224 ,  7.816.091 ,  6.388.288 ,  5.774.137 ,  5.611.285 ,  5.934.881 ,  6.250.459 ,  6.666.275 ,  7.353.303 ,  7.150.141 ,  7.520.377 ,  82.524.155 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  422.928 ,  433.891 ,  418.878 ,  348.651 ,  342.110 ,  363.211 ,  407.644 ,  436.044 ,  447.735 ,  456.182 ,  440.280 ,  435.348 ,  4.952.902 
Nordeste,  1.283.465 ,  1.263.178 ,  1.252.063 ,  992.342 ,  935.126 ,  912.010 ,  979.272 ,  1.006.838 ,  1.078.205 ,  1.188.117 ,  1.146.757 ,  1.178.773 ,  13.216.145 
Sudeste,  4.229.304 ,  4.191.409 ,  4.072.869 ,  3.318.789 ,  2.982.078 ,  2.860.468 ,  3.015.118 ,  3.198.269 ,  3.431.649 ,  3.890.202 ,  3.718.647 ,  3.965.809 ,  42.874.611 
Sul,  1.453.546 ,  1.487.690 ,  1.419.092 ,  1.176.547 ,  1.016.722 ,  998.792 ,  1.032.481 ,  1.056.951 ,  1.109.652 ,  1.176.297 ,  1.217.801 ,  1.309.577 ,  14.455.148 
Centro-Oeste,  630.451 ,  663.056 ,  653.189 ,  551.958 ,  498.101 ,  476.803 ,  500.367 ,  552.357 ,  599.034 ,  642.506 ,  626.656 ,  630.870 ,  7.025.348 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  45.788 ,  44.833 ,  46.090 ,  39.991 ,  36.931 ,  37.351 ,  41.285 ,  44.046 ,  46.725 ,  48.435 ,  48.016 ,  48.472 ,  527.964 
Norte,  404.606 ,  410.922 ,  397.842 ,  327.365 ,  323.781 ,  356.695 ,  401.725 ,  420.446 ,  428.563 ,  437.888 ,  421.156 ,  419.199 ,  4.750.188 
Nordeste,  1.182.865 ,  1.163.094 ,  1.155.004 ,  911.734 ,  855.655 ,  819.716 ,  878.457 ,  904.625 ,  972.360 ,  1.077.335 ,  1.038.250 ,  1.066.428 ,  12.025.522 
Sudeste/C.Oeste,  4.932.889 ,  4.932.685 ,  4.798.064 ,  3.932.651 ,  3.541.048 ,  3.398.730 ,  3.580.933 ,  3.824.390 ,  4.108.976 ,  4.613.349 ,  4.424.918 ,  4.676.701 ,  50.765.333 
Sul,  1.453.546 ,  1.487.690 ,  1.419.092 ,  1.176.547 ,  1.016.722 ,  998.792 ,  1.032.481 ,  1.056.951 ,  1.109.652 ,  1.176.297 ,  1.217.801 ,  1.309.577 ,  14.455.148 
,,,,,,,,,,,,,
,2019,,,,,,,,,,,,
TOTAL COMERCIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  8.125.419 ,  8.209.493 ,  8.054.653 ,  7.781.941 ,  7.767.779 ,  7.140.814 ,  6.915.258 ,  6.945.604 ,  7.244.462 ,  7.754.692 ,  8.095.399 ,  8.047.980 ,  92.083.493 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  393.237 ,  384.184 ,  404.139 ,  410.520 ,  425.585 ,  421.486 ,  434.296 ,  445.000 ,  456.322 ,  451.290 ,  451.874 ,  452.907 ,  5.130.840 
Nordeste,  1.244.524 ,  1.258.334 ,  1.293.170 ,  1.265.486 ,  1.285.963 ,  1.209.099 ,  1.189.921 ,  1.171.070 ,  1.207.622 ,  1.286.050 ,  1.330.201 ,  1.390.622 ,  15.132.062 
Sudeste,  4.370.412 ,  4.365.504 ,  4.303.463 ,  4.115.920 ,  4.141.319 ,  3.726.296 ,  3.547.092 ,  3.575.392 ,  3.768.173 ,  4.084.436 ,  4.293.625 ,  4.194.166 ,  48.485.799 
Sul,  1.482.138 ,  1.523.768 ,  1.399.618 ,  1.343.136 ,  1.276.695 ,  1.176.295 ,  1.158.708 ,  1.156.687 ,  1.162.530 ,  1.255.707 ,  1.336.587 ,  1.358.280 ,  15.630.150 
Centro-Oeste,  635.108 ,  677.702 ,  654.262 ,  646.879 ,  638.217 ,  607.637 ,  585.240 ,  597.456 ,  649.815 ,  677.209 ,  683.111 ,  652.005 ,  7.704.641 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  43.527 ,  40.918 ,  42.408 ,  45.285 ,  44.233 ,  42.018 ,  43.719 ,  43.250 ,  46.101 ,  49.412 ,  47.150 ,  46.803 ,  534.824 
Norte,  376.339 ,  372.721 ,  387.561 ,  391.892 ,  410.442 ,  411.965 ,  417.648 ,  433.821 ,  438.761 ,  435.425 ,  439.821 ,  444.811 ,  4.961.206 
Nordeste,  1.146.689 ,  1.159.795 ,  1.195.708 ,  1.166.102 ,  1.182.715 ,  1.105.231 ,  1.086.000 ,  1.064.109 ,  1.097.511 ,  1.174.829 ,  1.217.073 ,  1.275.757 ,  13.871.518 
Sudeste/C.Oeste,  5.076.725 ,  5.112.290 ,  5.029.358 ,  4.835.526 ,  4.853.694 ,  4.405.305 ,  4.209.182 ,  4.247.737 ,  4.499.560 ,  4.839.319 ,  5.054.768 ,  4.922.329 ,  57.085.794 
Sul,  1.482.138 ,  1.523.768 ,  1.399.618 ,  1.343.136 ,  1.276.695 ,  1.176.295 ,  1.158.708 ,  1.156.687 ,  1.162.530 ,  1.255.707 ,  1.336.587 ,  1.358.280 ,  15.630.150 
,,,,,,,,,,,,,
,2018,,,,,,,,,,,,
TOTAL COMERCIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  7.611.452 ,  7.572.069 ,  7.865.509 ,  7.847.428 ,  7.417.647 ,  6.885.495 ,  6.747.084 ,  6.894.849 ,  7.030.951 ,  7.430.572 ,  7.573.780 ,  7.783.163 ,  88.659.999 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  383.695 ,  365.333 ,  402.733 ,  394.826 ,  406.347 ,  402.220 ,  405.699 ,  426.942 ,  422.603 ,  455.828 ,  436.701 ,  400.246 ,  4.903.172 
Nordeste,  1.194.154 ,  1.167.658 ,  1.201.575 ,  1.194.859 ,  1.179.366 ,  1.148.012 ,  1.091.109 ,  1.145.211 ,  1.146.312 ,  1.224.245 ,  1.263.488 ,  1.252.677 ,  14.208.666 
Sudeste,  4.079.859 ,  4.054.596 ,  4.218.606 ,  4.242.008 ,  3.926.690 ,  3.645.483 ,  3.569.522 ,  3.574.642 ,  3.707.136 ,  3.895.859 ,  3.980.073 ,  4.140.015 ,  47.034.488 
Sul,  1.351.222 ,  1.365.542 ,  1.401.413 ,  1.365.753 ,  1.294.824 ,  1.130.664 ,  1.118.044 ,  1.157.135 ,  1.145.579 ,  1.199.663 ,  1.253.653 ,  1.347.101 ,  15.130.591 
Centro-Oeste,  602.522 ,  618.941 ,  641.183 ,  649.983 ,  610.420 ,  559.116 ,  562.710 ,  590.919 ,  609.322 ,  654.978 ,  639.864 ,  643.124 ,  7.383.082 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  41.647 ,  40.935 ,  42.864 ,  42.828 ,  41.509 ,  41.003 ,  41.258 ,  45.765 ,  44.905 ,  48.670 ,  47.683 ,  41.988 ,  521.055 
Norte,  375.586 ,  354.172 ,  389.520 ,  382.325 ,  396.170 ,  402.493 ,  397.884 ,  415.704 ,  415.691 ,  440.596 ,  424.921 ,  393.653 ,  4.788.715 
Nordeste,  1.093.727 ,  1.073.759 ,  1.102.474 ,  1.095.516 ,  1.077.517 ,  1.043.398 ,  989.668 ,  1.038.076 ,  1.038.476 ,  1.112.793 ,  1.153.077 ,  1.148.829 ,  12.967.310 
Sudeste/C.Oeste,  4.749.269 ,  4.737.662 ,  4.929.239 ,  4.961.006 ,  4.607.626 ,  4.267.937 ,  4.200.230 ,  4.238.169 ,  4.386.300 ,  4.628.851 ,  4.694.446 ,  4.851.592 ,  55.252.328 
Sul,  1.351.222 ,  1.365.542 ,  1.401.413 ,  1.365.753 ,  1.294.824 ,  1.130.664 ,  1.118.044 ,  1.157.135 ,  1.145.579 ,  1.199.663 ,  1.253.653 ,  1.347.101 ,  15.130.591 
,,,,,,,,,,,,,
,2017,,,,,,,,,,,,
TOTAL COMERCIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  7.778.453 ,  7.683.653 ,  7.964.592 ,  7.697.452 ,  7.248.489 ,  7.010.216 ,  6.655.413 ,  6.718.745 ,  7.114.941 ,  7.309.398 ,  7.491.351 ,  7.619.787 ,  88.292.490 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  380.583 ,  358.759 ,  390.712 ,  388.390 ,  420.969 ,  416.895 ,  405.600 ,  437.404 ,  431.453 ,  438.035 ,  427.501 ,  413.124 ,  4.909.425 
Nordeste,  1.191.037 ,  1.165.026 ,  1.219.738 ,  1.208.650 ,  1.204.251 ,  1.177.000 ,  1.092.688 ,  1.127.467 ,  1.143.147 ,  1.209.333 ,  1.245.718 ,  1.271.428 ,  14.255.483 
