ANO,REGIAO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
2012,Sul,1584091,1658098,1706808,1533564,1461139,1490070,1503946,1557202,1510699,1489158,1566444,1628533
2012,Centro-Oeste,726118,727504,750552,774281,752535,739704,692016,752539,801211,824192,852344,809315
2011,Norte,496172,452353,477637,471596,487643,520799,513870,541456,567602,567178,548988,548931
2011,Nordeste,1751761,1597702,1713392,1681904,1662459,1605866,1639149,1636046,1668339,1704764,1723018,1778139
2011,Sudeste,5255305,5083728,5128653,4937010,4856402,4678006,4784552,4840012,5036380,4905359,4885526,4957747
2011,Sul,1602622,1598947,1490633,1433329,1426433,1403302,1516995,1494340,1494136,1420907,1404883,1453631
2011,Centro-Oeste,704339,672452,697532,712847,704884,659843,673879,689462,757502,766759,740908,744657
2010,Norte,460383,442546,466995,487028,479188,497484,490071,492103,529944,541500,525898,509429
2010,Nordeste,1577345,1521047,1671008,1659728,1616156,1601998,1541855,1512802,1550927,1608710,1696902,1725786
2010,Sudeste,4934723,4805332,4841148,4871630,4594567,4520711,4385968,4674267,4715169,4722642,4672324,4941867
2010,Sul,1576494,1489158,1488181,1443291,1349500,1388083,1394531,1455445,1402641,1357167,1360716,1415916
2010,Centro-Oeste,686131,654256,685415,688573,669588,667520,635114,677680,705315,721029,706899,708846
2009,Norte,437714,400108,393057,413043,406935,411397,429684,453741,475717,472878,484073,478521
2009,Nordeste,1447974,1369074,1413760,1455395,1389283,1340100,1353994,1426344,1438256,1488745,1520234,1577336
2009,Sudeste,4648272,4425160,4666872,4574496,4466390,4263405,4390194,4521489,4516470,4587326,4586570,4768804
2009,Sul,1419724,1354039,1397087,1388854,1299824,1299676,1338723,1381261,1336852,1317935,1379266,1396936
2009,Centro-Oeste,650865,601070,618907,640315,625858,594716,592316,620129,649506,658857,665609,655034
2008,Norte,396323,380864,374421,386480,399647,399430,405359,434435,455038,453242,452781,431406
2008,Nordeste,1360682,1332020,1306498,1299819,1316168,1246959,1256700,1266491,1275643,1358840,1361440,1398059
2008,Sudeste,4412691,4340742,4179036,4225451,4386332,4153532,4186405,4292183,4208021,4413750,4456627,4222422
2008,Sul,1380788,1324724,1276707,1264139,1255075,1252972,1258858,1296088,1258612,1268536,1306813,1280988
2008,Centro-Oeste,583757,580367,556939,578792,576659,568337,546183,591435,618394,625417,660058,609814
2007,Norte,377018,364503,352883,371967,371605,381288,374013,392888,408304,409738,422501,405279
2007,Nordeste,1259580,1208193,1194430,1244458,1218867,1205705,1177362,1185584,1164758,1226991,1286044,1305312
2007,Sudeste,4183534,4000465,4219240,4223592,4104316,3887323,3813598,3979163,4058552,4053969,4229638,4116989
2007,Sul,1327669,1269714,1275474,1291818,1243434,1193009,1172657,1249110,1238276,1216932,1238824,1218277
2007,Centro-Oeste,562552,550066,552290,596991,553266,536836,533647,537771,579422,604146,591274,572267
2006,Norte,352086,343002,344413,348152,345138,355133,369332,372153,397912,397549,402093,380071
2006,Nordeste,1175576,1126753,1204843,1183946,1153080,1120182,1104726,1108110,1137729,1189699,1252976,1218118
2006,Sudeste,3895002,3891195,4121517,3957604,3811708,3828066,3768572,3774740,3888550,3901043,3997650,4016723
2006,Sul,1217745,1237781,1206397,1184330,1096410,1145520,1138292,1150880,1140225,1130932,1203160,1195034
2006,Centro-Oeste,527224,533084,531347,555794,527020,514692,511993,534089,563955,563013,582830,556939
2005,Norte,355960,336135,341725,350369,338681,352716,356661,360833,381555,372756,384562,360953
2005,Nordeste,1166974,1132479,1137174,1145854,1118876,1071457,1047172,1071180,1077986,1112111,1149668,1161649
2005,Sudeste,3873894,3616967,3711051,3923735,3655561,3710837,3626333,3635143,3819948,3773673,3774518,3869508
2005,Sul,1194716,1161664,1155064,1180034,1099102,1128837,1112988,1129754,1130082,1112763,1116745,1156844
2005,Centro-Oeste,526994,511087,520203,531746,505927,517429,501666,507765,539783,546683,550948,528775
2004,Norte,348585,323403,320237,339775,332155,332089,328423,338836,351459,353207,362279,355894
2004,Nordeste,1098664,1000221,1049437,1097251,1033007,1002351,969181,962934,1041242,1046249,1083212,1104220
2004,Sudeste,3694386,3511541,3629455,3733863,3537269,3433443,3457623,3453322,3596160,3608130,3608515,3569438
2004,Sul,1132506,1121970,1108027,1132047,1082103,1056850,1066705,1070192,1100557,1069478,1071490,1100567
2004,Centro-Oeste,506540,472103,493181,506071,492808,466359,470539,479192,514971,529450,505694,513252
