ANO,REGIAO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
2015,Sudeste,6.476.567,5.957.795,5.573.471,5.415.655,5.176.493,4.852.845,4.913.722,5.080.894,5.030.736,5.465.728,5.457.842,5.383.171
2015,Sul,2.062.996,1.967.877,1.802.427,1.724.335,1.588.736,1.593.710,1.605.688,1.621.249,1.557.532,1.611.874,1.612.892,1.603.341
2015,Centro-Oeste,989.503,936.289,828.374,841.785,878.861,850.268,819.639,846.311,941.162,1.008.380,995.736,928.685
2014,Norte,651.827,640.104,665.706,649.978,705.888,693.230,712.711,735.422,755.837,756.891,745.283,761.455
2014,Nordeste,2.222.412,2.115.977,2.152.217,2.127.397,2.164.510,2.035.296,2.072.771,2.027.166,2.060.440,2.154.008,2.172.997,2.190.944
2014,Sudeste,5.991.046,6.082.595,5.783.428,5.477.028,5.455.670,5.106.123,5.294.663,5.191.948,5.194.803,5.560.649,5.714.131,5.508.771
2014,Sul,2.012.159,2.166.045,1.810.905,1.657.560,1.663.029,1.660.066,1.690.827,1.722.603,1.650.393,1.662.746,1.780.429,1.801.652
2014,Centro-Oeste,920.875,874.137,876.245,868.377,888.051,827.154,784.886,864.433,914.142,1.006.315,969.551,897.948
2013,Norte,577.517,560.166,543.558,591.995,595.852,616.782,623.393,629.182,640.168,687.065,675.367,683.978
2013,Nordeste,2.002.181,1.980.331,2.000.446,2.083.364,1.995.023,1.897.430,1.927.736,1.918.626,1.956.622,2.054.166,2.072.616,2.075.421
2013,Sudeste,5.757.901,5.425.917,5.373.723,5.329.736,5.269.471,5.185.998,5.063.741,5.200.951,5.196.437,5.313.978,5.420.982,5.407.419
2013,Sul,1.758.505,1.711.710,1.631.377,1.513.471,1.565.432,1.594.070,1.634.801,1.715.613,1.644.068,1.620.013,1.628.086,1.653.801
2013,Centro-Oeste,828.781,796.405,807.892,783.019,816.136,797.911,772.664,816.125,813.870,870.074,913.837,885.062
2012,Norte,524.135,503.434,503.494,532.486,552.161,566.437,551.450,592.424,604.096,608.315,628.098,597.632
2012,Nordeste,1.827.785,1.704.591,1.838.823,1.779.375,1.811.928,1.775.115,1.698.329,1.740.365,1.723.840,1.797.350,1.822.908,1.874.692
2012,Sudeste,5.138.107,5.111.298,5.470.926,5.308.429,4.954.256,5.033.564,4.828.556,4.979.107,5.108.683,5.068.966,5.369.591,5.223.040
2012,Sul,1.584.091,1.658.098,1.706.808,1.533.564,1.461.139,1.490.070,1.503.946,1.557.202,1.510.699,1.489.158,1.566.444,1.628.533
2012,Centro-Oeste,726.118,727.504,750.552,774.281,752.535,739.704,692.016,752.539,801.211,824.192,852.344,809.315
2011,Norte,496.172,452.353,477.637,471.596,487.643,520.799,513.870,541.456,567.602,567.178,548.988,548.931
2011,Nordeste,1.751.761,1.597.702,1.713.392,1.681.904,1.662.459,1.605.866,1.639.149,1.636.046,1.668.339,1.704.764,1.723.018,1.778.139
2011,Sudeste,5.255.305,5.083.728,5.128.653,4.937.010,4.856.402,4.678.006,4.784.552,4.840.012,5.036.380,4.905.359,4.885.526,4.957.747
2011,Sul,1.602.622,1.598.947,1.490.633,1.433.329,1.426.433,1.403.302,1.516.995,1.494.340,1.494.136,1.420.907,1.404.883,1.453.631
2011,Centro-Oeste,704.339,672.452,697.532,712.847,704.884,659.843,673.879,689.462,757.502,766.759,740.908,744.657
2010,Norte,460.383,442.546,466.995,487.028,479.188,497.484,490.071,492.103,529.944,541.500,525.898,509.429
2010,Nordeste,1.577.345,1.521.047,1.671.008,1.659.728,1.616.156,1.601.998,1.541.855,1.512.802,1.550.927,1.608.710,1.696.902,1.725.786
2010,Sudeste,4.934.723,4.805.332,4.841.148,4.871.630,4.594.567,4.520.711,4.385.968,4.674.267,4.715.169,4.722.642,4.672.324,4.941.867
2010,Sul,1.576.494,1.489.158,1.488.181,1.443.291,1.349.500,1.388.083,1.394.531,1.455.445,1.402.641,1.357.167,1.360.716,1.415.916
2010,Centro-Oeste,686.131,654.256,685.415,688.573,669.588,667.520,635.114,677.680,705.315,721.029,706.899,708.846
2009,Norte,437.714,400.108,393.057,413.043,406.935,411.397,429.684,453.741,475.717,472.878,484.073,478.521
2009,Nordeste,1.447.974,1.369.074,1.413.760,1.455.395,1.389.283,1.340.100,1.353.994,1.426.344,1.438.256,1.488.745,1.520.234,1.577.336
